Date;DL;UL;Ping
2018-03-19 10:33:00;197.35;12.33;21.890
2018-03-19 10:37:00;190.35;12.29;17.413
2018-03-19 10:40:00;177.75;9.13;21.589
2018-03-19 10:48:00;147.61;12.02;20.218
2018-03-19 10:49:00;194.15;12.12;17.934
2018-03-19 10:51:00;194.24;12.10;18.225
2018-03-19 10:58:00;183.40;12.15;18.333
2018-03-19 11:00:00;103.59;12.53;19.514
2018-03-19 11:02:00;187.38;12.13;17.756
2018-03-19 11:10:00;189.96;12.25;16.493
2018-03-19 11:12:00;190.48;12.32;17.784
2018-03-19 11:15:00;199.29;12.47;17.858
2018-03-19 11:19:00;107.54;12.34;17.418
2018-03-19 11:23:00;197.55;12.03;20.723
2018-03-19 11:32:00;197.34;12.41;19.008
2018-03-19 11:42:00;175.04;12.47;17.770
2018-03-19 11:52:00;188.10;12.10;16.906
2018-03-19 12:02:00;190.80;11.94;18.728
2018-03-19 12:12:00;185.82;11.97;19.095
2018-03-19 12:22:00;132.83;12.29;20.359
2018-03-19 12:32:00;185.15;12.24;18.794
2018-03-19 12:42:00;167.28;12.39;18.314
2018-03-19 12:52:00;181.51;12.44;19.246
2018-03-19 13:02:00;174.05;12.41;19.759
2018-03-19 13:12:00;187.66;12.41;18.016
2018-03-19 13:22:00;189.20;12.21;16.742
2018-03-19 13:33:00;186.59;12.57;19.332
2018-03-19 13:43:00;173.83;12.08;19.357
2018-03-19 13:53:00;145.29;12.32;19.985
2018-03-19 14:03:00;172.46;12.30;19.960
2018-03-19 14:13:00;182.88;12.03;18.238
2018-03-19 14:23:00;135.08;12.60;27.666
2018-03-19 14:33:00;10.34;12.19;20.853
2018-03-19 14:43:00;116.70;12.18;20.553
2018-03-19 14:53:00;178.57;12.51;18.117
2018-03-19 15:03:00;108.06;12.32;18.807
2018-03-19 15:13:00;184.52;12.51;24.703
2018-03-19 15:23:00;177.70;12.23;17.697
2018-03-19 15:33:00;79.52;12.26;20.839
2018-03-19 15:43:00;115.17;12.21;19.153
2018-03-19 15:53:00;181.17;12.26;18.412
2018-03-19 16:03:00;153.89;12.24;17.195
2018-03-19 16:13:00;109.54;12.53;21.827
2018-03-19 16:23:00;163.38;12.42;20.519
2018-03-19 16:33:00;158.30;12.43;19.337
2018-03-19 16:43:00;142.20;12.31;19.616
2018-03-19 17:08:36;55.64;12.42;21.509
2018-03-19 17:11:06;140.84;12.23;19.367
2018-03-19 17:16:01;43.66;12.15;28.331
2018-03-19 17:26:02;154.61;12.33;17.954
2018-03-19 17:34:22;114.1;12.32;28.514
2018-03-19 17:35:58;100.27;12.16;22.694
2018-03-19 17:38:31;80.31;12.34;32.632
2018-03-19 17:48:31;80.02;12.46;21.88
2018-03-19 17:58:31;78.22;12.37;22.016
2018-03-19 18:08:34;77.26;12.37;25.588
2018-03-19 18:18:31;70.97;11.93;28.067
2018-03-19 18:20:54;61.71;12.22;20.524
2018-03-19 18:21:35;60.74;12.39;21.535
2018-03-19 18:22:37;90.76;12.5;21.871
2018-03-19 18:27:57;85.92;12.16;26.444
2018-03-19 18:29:10;80.41;12.62;19.519
2018-03-19 18:39:08;117.25;12.34;24.739
2018-03-19 18:44:44;29.12;12.43;38.681
2018-03-19 18:54:41;40.18;12.14;33.619
2018-03-19 19:04:38;64.19;12.33;25.086
2018-03-19 19:14:38;30.51;12.25;22.344
2018-03-19 19:24:38;19.23;12.38;36.505
2018-03-19 19:34:41;12.04;12.15;34.696
2018-03-19 19:44:37;29.51;12.28;25.548
2018-03-19 19:54:36;10.77;9.42;57.005
2018-03-19 20:04:37;8.68;9.24;28.084
2018-03-19 20:14:31;8.99;7.71;64.17
2018-03-19 20:24:28;10.94;12.51;41.885
2018-03-19 20:34:31;8.66;12.54;50.844
2018-03-19 20:44:30;10.4;12.08;30.777
2018-03-19 20:54:34;16.02;9.08;36.673
2018-03-19 21:04:31;9.02;12.18;35.386
2018-03-19 21:14:29;8.9;11.74;44.095
2018-03-19 21:24:29;7.47;12.34;39.382
2018-03-19 21:34:29;8.59;12.5;24.063
2018-03-19 21:44:29;8.67;12.41;38.393
2018-03-19 21:54:30;5.5;12.34;35.527
2018-03-19 22:04:32;8.83;12.22;30.121
2018-03-19 22:14:33;7.66;11.45;56.436
2018-03-19 22:24:32;13.83;12.37;48.836
2018-03-19 22:34:34;10.88;12.29;56.188
2018-03-19 22:44:31;10.77;12.32;28.044
2018-03-19 22:54:32;14.82;12.27;31.437
2018-03-19 23:04:31;20.6;12.06;34.642
2018-03-19 23:14:32;15.73;12.33;50.533
2018-03-19 23:24:35;43.54;12.26;36.331
2018-03-19 23:34:32;45.01;11.99;32.836
2018-03-19 23:44:31;135.13;12.34;22.09
